benchmark,status,reason,policy,line_size,l1d_size,l1d_assoc,l2_size,l2_assoc,prefetch_buffer_lines,stream_slots,max_stream_length,epoch_reads,stream_lifetime,prefetch_latency,miss_latency,l2_hit_latency,hit_latency,write_latency,base_cost,max_prefetch_depth,bootstrap_next_line,selected_cycles,baseline_cycles,speedup,accuracy,coverage
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,16325594882,16454329237,1.007885,0.9432,0.9085
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,16500457625,16594786291,1.005717,0.9430,0.8417
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,16361877659,16501057130,1.008506,0.9517,0.8009
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,16196249799,16297100789,1.006227,0.9430,0.8186
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,16384572831,16492933491,1.006614,0.9350,0.7372
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,16475279606,16540588420,1.003964,0.9269,0.7393
hmmer,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,16266724219,16301137119,1.002116,0.9157,0.6919
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,16362227098,16370782491,1.000523,0.9231,0.0585
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,16313878058,16327464802,1.000833,0.9323,0.0839
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,16587275459,16593523632,1.000377,0.7341,0.0304
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,16347444514,16356003001,1.000524,0.7302,0.0642
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,16691532955,16705923481,1.000862,0.8939,0.0980
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,16547260184,16549961151,1.000163,0.9368,0.0183
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,16366849291,16368320092,1.000090,0.7171,0.0315
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,8440345960,8440345960,1.000000,0.0000,0.0000
hmmer,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,16681700635,16683172854,1.000088,0.6481,0.0070
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,8323154525,8323154525,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,8324373970,8324373970,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,8528941361,8528941361,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,8345384666,8345384666,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,8295822758,8295822758,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,8321199159,8321199159,1.000000,0.0000,0.0000
dealII,ok,ok,off,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,8341395348,8341395348,1.000000,0.0000,0.0000
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,8281035329,8408744868,1.015422,0.7817,0.5966
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,8156624533,8282075109,1.015380,0.7765,0.7077
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,8187799726,8316693440,1.015742,0.7815,0.5779
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,8155716176,8281005119,1.015362,0.7812,0.7376
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,8248653941,8376696174,1.015523,0.7741,0.5657
