depth,s1,s2,s4,s8
0,121199137,121220343,121219908,121221736
1,3304065,2751942,2565495,2369289
2,4821415,2717062,2571129,2372424
4,2849377,2715729,2568633,2366625
8,2781929,2697338,2581414,2340358
