depth,s1,s2,s4,s8
0,527383719,522856901,521252067,528249378
1,1008533430,994768703,996833482,1016150041
2,1527987228,1467628311,1490771968,1444560406
4,2429116019,2415029074,2407312907,2388945773
8,4324561953,4325161481,4221387747,4245246069
