depth,s1,s2,s4,s8
0,1088460173,1065416061,1085455659,1066265545
1,1060494517,1054364785,1054547571,1034126597
2,1062311280,1053565727,1046738357,1037739672
4,1063276804,1054604191,1053616809,1039003810
8,1057938152,1050568921,1065471872,1037219687
