depth,s1,s2,s4,s8
0,121203388,121224594,121224159,121225987
1,125026252,124027772,123789942,123573071
2,132883449,126659670,126345350,125970260
4,132674885,132086730,131476962,130668130
8,143458567,142781307,141875109,139946875
