depth,s1,s2,s4,s8
0,490278521,485751703,484146869,491144180
1,481408908,471625290,470251381,477679915
2,494001466,472184669,477808869,461586079
4,476705873,472820056,470226292,464913923
8,475428064,474938201,462878481,465073330
